1341674245647196160 2020-12-23 17:17:21 +0800 <GrootKo> Geert Wilders laaiend na €30.000 van Rutte: ‘Beetje betalen, verantwoordelijkheid afkopen, blijven zitten!’  https://t.co/tlK6oc3bcq
1341673997226917890 2020-12-23 17:16:22 +0800 <GrootKo> Friese PvdA-ers worstelen met discussie over Asscher: kan hij aanblijven of niet?  https://t.co/aOKsu6HT6H
1341661716942352384 2020-12-23 16:27:34 +0800 <GrootKo> Zeespiegel alarmisme sterft op de Malediven: 97% van 186 eilandkusten is sinds 2005 gegroeid of niet veranderd (38%)  https://t.co/MRGljms1SG via @JDreport
1341661195011563520 2020-12-23 16:25:30 +0800 <GrootKo> Illegale migrant uit Marokko vernielt auto van een vrouw die weigerde hem geld te geven  https://t.co/6X83q17OMm via @Frontnieuws
1341594084763447301 2020-12-23 11:58:50 +0800 <GrootKo> Kabinet durft ineens daadkracht te tonen: ‘snelle’ compensatie duizenden ouders toeslagenaffaire  https://t.co/TFGbxOeQOD
1341587784667115523 2020-12-23 11:33:48 +0800 <GrootKo> Israëliërs reizen massaal naar nieuwe Arabische bondgenoot  https://t.co/vDwlrO2ndn via @NOS
1341475028781703169 2020-12-23 04:05:44 +0800 <GrootKo> Walgende Wilders eist dat Rutte opstapt: “Hij beschermt zijn politieke vriendjes maar de gewone burger is de klos!”  https://t.co/KD5q3N72UR
1341445234828464128 2020-12-23 02:07:21 +0800 <GrootKo> Biomassa misschien toch niet zo groen? Gemeente Amsterdam houdt meetrapporten biomassacentrale geheim  https://t.co/PS6KYsFcRY
1341429347333386240 2020-12-23 01:04:13 +0800 <GrootKo> Ziekenhuizen dringen aan bij kabinet: ‘vaccineren van personeel moet sneller, situatie dreigt onhoudbaar te worden!’  https://t.co/dl8jl0rbaU
1341426571190677505 2020-12-23 00:53:11 +0800 <GrootKo> Goh! Nu hoofden Rutte en Hoekstra op het hakblok liggen ineens wél ruimhartige compensatie toeslagenslachtoffers  https://t.co/VAXNp4oeiu
1341423593016750084 2020-12-23 00:41:21 +0800 <GrootKo> Zoon van beroemde Franse international, Lilian Thuram, tegenwoordig anti-racisme activist, spuugt blanke in gezicht – Geen racisme  https://t.co/9wYtRdzM62 via @DissidentNL
1341418599043510274 2020-12-23 00:21:31 +0800 <GrootKo> Medewerker neergestoken in Albert Heijn Watergraafsmeer, mogelijk door mondkapjesweigeraar  https://t.co/TABDOaJmwL via @TPOnl
1341418368541339655 2020-12-23 00:20:36 +0800 <GrootKo> Oprichter ‘grootste Koranschool in Nederland’, Abdurrahman A., aangehouden voor ‘ontucht’ met minderjarige leerling  https://t.co/H2h2IJ9jMY
1341417697712754688 2020-12-23 00:17:56 +0800 <GrootKo> Vrouw rijdt hond aan maar blijft doorrijden met dier in bumper  https://t.co/yMaatGiQtB via @telegraaf
1341375901569835009 2020-12-22 21:31:51 +0800 <GrootKo> Syriër bindt schaap vast en gebruikt het als slee  https://t.co/gyM1Lq8UJx via @Frontnieuws
1341364744381456384 2020-12-22 20:47:31 +0800 <GrootKo> LIVE | Bedden op kinder-ic’s opgeofferd  https://t.co/5p0bundBoQ via @telegraaf
1341312498037878787 2020-12-22 17:19:54 +0800 <GrootKo> LIVE Catshuis. Kabinet nog steeds niet afgetreden  https://t.co/3qZHsB0y2B
1341312306676953088 2020-12-22 17:19:08 +0800 <GrootKo> Man (31) doodt ’rapper-inbreker’ met zwaard en draait cel in  https://t.co/YubWOCAeqy via @Telegraaf
1341310410042044416 2020-12-22 17:11:36 +0800 <GrootKo> Schoonmoederknuffelaar Grapperhaus gaat afrekenen met ‘creatieve’ corona-winkeliers: “Niet de bedoeling!”  https://t.co/uNYnvwzt7s
1341309394701705216 2020-12-22 17:07:34 +0800 <GrootKo> @niceguy6192 @EJBron2 Goed plan!
1341308989464866818 2020-12-22 17:05:58 +0800 <GrootKo> @Berten96412265 @EJBron2 Dat krijg je ervan als je een achterlijk woestijngeloof importeert.
1341292816274759680 2020-12-22 16:01:42 +0800 <GrootKo> ABN Amro onder vuur om ’woekerrente’  https://t.co/A5OON4KH5j via @Telegraaf
1341292056187166721 2020-12-22 15:58:40 +0800 <GrootKo> "Gematigde" Berlijnse imam wil clitoris van sekshongerige vrouwen verwijderen  https://t.co/sgchxpeWlU via @EJBron2
1341291716217847815 2020-12-22 15:57:19 +0800 <GrootKo> Baantjescarousel: Asscher gaat vallen om toeslagenaffaire  https://t.co/7D9Z22PXd7 via @JDreport
1341290360144879617 2020-12-22 15:51:56 +0800 <GrootKo> In 2019 had 63% van de plegers van seksueel geweld en 93% van de plegers van diefstallen in het OV in Ile de France een buitenlandse nationaliteit  https://t.co/mbhlmSralc via @DissidentNL
1341289917461262336 2020-12-22 15:50:10 +0800 <GrootKo> @ANoordam Goedemorgen Arend☕️☕️
